from,to,relation,start_year,end_year
mem,aku,tn,NA,NA
mem,hrk,tn,NA,NA
mem,rs,tn,NA,NA
coch,ak,tn,NA,NA
coch,mjk,tn,NA,NA
coch,jmba,tn,NA,NA
coch,jsaw,tn,NA,NA
coch,md,tn,NA,NA
coch,tl,tn,NA,NA
coch,zmb,tn,NA,NA
ch,dp,tn,NA,NA
mem,bb,tn,NA,NA
coch,bb,tn,NA,NA
ch,bb,tn,NA,NA
ak,asv,ar,2018,2020
ak,te,vs,2015,2024
ak,msc,tn,2024,NA
rs,msc,tn,2024,NA
zmb,msc,tn,2018,NA
aku,eth,tn,1979,1984
aku,wef,tn,2013,2020
dp,eth,tn,1983,1985
dp,hu,st,1985,1987
dp,wef,tn,2014,2017
dp,ert,tn,2018,2024
hrk,wef,tn,2010,NA
jsaw,wef,tn,2015,NA
jsaw,hu,st,1984,1986
md,asv,ceo,2002,2024
md,wef,tn,NA,NA
tl,ert,tn,2014,2018
tl,wef,tn,2019,NA
zmb,te,chr,1984,2024
zmb,uoo,st,1985,1988
zmb,hu,st,1988,1990
zmb,wef,tn,NA,NA
rs,uoo,st,NA,NA
rs,hu,st,1986,1989
rs,aa,ma,1992,2024
hrk,mjk,ma,1994,2024
mem,bb,gr,NA,NA
coch,bb,gr,NA,NA
ch,bb,gr,NA,NA
bb,mem,gr,NA,NA
bb,coch,gr,NA,NA
bb,ch,gr,NA,NA