id,name,sex,country,organisation,section,position
ak,Alex Karp,m,USA,Palantir Technologies,1,1
aku,André Kudelski,m,CHE,Kudelski Group SA,1,2
dp,Dimitri Papalexopoulos,m,GRC,Titan Cement Co.,1,1
hrk,Henry R. Kravis,m,USA,Kohlberg Kravis Roberts & Co.,1,2
jsaw,John Sawers,m,GBR,Macro Advisory Partners,1,1
jmba,José Manuel Barroso,m,PRT,Goldman Sachs International LLC,1,1
md,Mathias Döpfner,m,DEU,Axel Springer SE,5,1
rs,Radoslaw Sikorski,m,POL,Harvard University,6,2
tl,Thomas Leysen,m,BEL,KBC Group,1,1
zmb,Zanny Minton Beddoes,w,UK,The Economist,5,1
asv,Axel Springer SE,NA,NA,Axel Springer SE,NA,NA
hu,Harvard University,NA,NA,Harvard University,NA,NA
eth,ETH,NA,NA,Eidgenössische Technische Hochschule Zürich,NA,NA
wef,WEF,NA,NA,The World Economic Forum,NA,NA
ert,ERT,NA,NA,European Round Table for Industry,NA,NA
msc,MSC,NA,NA,Münchner Sicherheitskonferenz ,NA,NA
uoo,University of Oxford,NA,NA,University of Oxford,NA,NA
te,The Economist,NA,NA,The Economist,NA,NA
mem,Member,NA,NA,Bilderberg,NA,NA
coch,Steering Committee Co-chair,NA,NA,Bilderberg,NA,NA
ch,Steering Committee Chair,NA,NA,Bilderberg,NA,NA
aa,Anne Applebaum,w,USA,Washington Post,5,2
mjk,Marie-Josée Kravis,w,USA,Hudson Institute,6,1
bb,Bilderberg,NA,NA,Bilderberg Meetings,NA,NA